id,mean_cc_gain,cross_raw,cross_denoised,cross_gain,zone,model
49,1.6476460760568172,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
164,1.377821074124331,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
10,1.8724766264119517,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
141,1.844564189130523,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
174,1.408375557535835,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
105,1.6994357584533788,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
23,1.5280380762557277,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
98,1.3717696916795328,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
71,1.8873514231912494,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
99,1.7000066703417147,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
104,1.8852458877117964,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
150,1.6322826180912557,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
95,1.6199247298493886,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
138,1.4854059874408936,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
80,1.5888695184730857,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
176,1.4779249279966216,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
73,1.5062560541397378,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
75,1.4854280338321453,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
91,1.4596914404371923,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
24,1.593388258909973,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
26,1.7409539560917708,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
46,1.745204308105847,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
103,1.3804652740684393,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
169,1.3931183836703387,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
45,1.4887631624326503,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
96,1.8204536307295562,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
130,1.344339976350684,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
56,1.431033375699589,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
107,1.2916583790861424,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
146,1.5183806297799347,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
94,1.5546943367073394,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
125,1.7593145070706093,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
