id,mean_cc_gain,mean_cross_gain,zone,model
114,1.5652380069766034,4.21428474910586,ablation,01_ablation_horizontal
46,1.5464964864226196,3.3273727133910374,ablation,01_ablation_horizontal
19,1.4879237285313383,2.4779733000452993,ablation,01_ablation_horizontal
37,1.6068666520917922,4.867094097357348,ablation,01_ablation_horizontal
65,1.5016307710819248,2.9315732467494886,ablation,01_ablation_horizontal
62,1.6385390551172692,3.718324371535575,ablation,01_ablation_horizontal
97,1.5421386357195135,3.3535964568043592,ablation,01_ablation_horizontal
0,1.5553475342992633,4.066692294217966,ablation,01_ablation_horizontal
79,1.5428004288355435,2.9300709584034106,ablation,01_ablation_horizontal
12,1.5578674689933378,5.734876105089566,ablation,01_ablation_horizontal
99,1.3386234005703999,4.452964126756768,ablation,01_ablation_horizontal
21,1.4528575946318707,3.5785901799330735,ablation,01_ablation_horizontal
112,1.8812170918678361,5.96071898192073,ablation,01_ablation_horizontal
67,1.8016935693128684,2.1562517344637038,ablation,01_ablation_horizontal
113,1.5657481167310512,3.4641192267055128,ablation,01_ablation_horizontal
55,1.7589851746713123,4.019646163164842,ablation,01_ablation_horizontal
49,1.6721205218778086,2.078795289364868,ablation,01_ablation_horizontal
77,1.517279810932719,4.532502250921285,ablation,01_ablation_horizontal
101,1.8117881278437102,3.444533393198625,ablation,01_ablation_horizontal
50,1.385314087568365,2.7448903080508016,ablation,01_ablation_horizontal
27,1.4542978275799534,3.5676477635137087,ablation,01_ablation_horizontal
87,1.4953989776161662,3.108325169283798,ablation,01_ablation_horizontal
98,1.3753088647346874,2.3370509343786487,ablation,01_ablation_horizontal
28,1.6041908363741277,3.8843719870886013,ablation,01_ablation_horizontal
29,1.387074314655242,2.388567840031309,ablation,01_ablation_horizontal
71,1.979655098138092,2.6694770545588518,ablation,01_ablation_horizontal
69,3.648000023090532,1.8642926969316995,ablation,01_ablation_horizontal
116,1.5213512145886052,3.5620772925905313,ablation,01_ablation_horizontal
24,1.5178534413721307,2.808344764827265,ablation,01_ablation_horizontal
84,1.5626928966281972,2.049593054807131,ablation,01_ablation_horizontal
20,1.5013460187349605,3.068773143841092,ablation,01_ablation_horizontal
2,1.380378686608294,3.322186241792556,ablation,01_ablation_horizontal
6,1.5412043513196174,4.206906053912772,ablation,01_ablation_horizontal
30,1.4824879162018565,3.6560973341699716,ablation,01_ablation_horizontal
47,1.662405931866084,4.447420452776908,ablation,01_ablation_horizontal
38,1.4741921822954125,3.1308259307855644,ablation,01_ablation_horizontal
74,1.4983857080164686,5.447215630818551,ablation,01_ablation_horizontal
40,1.557757615436568,3.614566536363293,ablation,01_ablation_horizontal
31,1.6026118100873152,2.2597355755010713,ablation,01_ablation_horizontal
36,1.7173383519927135,5.716825151358616,ablation,01_ablation_horizontal
83,1.6605662061828959,5.269865363141439,ablation,01_ablation_horizontal
5,1.6080454156649004,3.3155124604993884,ablation,01_ablation_horizontal
51,1.5501301977952888,5.631195495599046,ablation,01_ablation_horizontal
34,1.3996280428211079,4.526154630021295,ablation,01_ablation_horizontal
68,1.4934150543932159,2.8300578593149863,ablation,01_ablation_horizontal
72,1.5891262930623875,2.136498475220561,ablation,01_ablation_horizontal
25,1.5462928757319907,2.33193200640757,ablation,01_ablation_horizontal
85,1.7646616637044659,2.9689641463288154,ablation,01_ablation_horizontal
7,1.7533112530202863,4.1325294182131955,ablation,01_ablation_horizontal
