id,mean_cc_gain,mean_cross_gain,zone,model
52,1.55938,cross_gain,ablation/0706_RA88,02_ablation_vertical
104,1.56891,cross_gain,ablation/0706_RA88,02_ablation_vertical
37,1.4697,cross_gain,ablation/0706_RA88,02_ablation_vertical
160,1.50335,cross_gain,ablation/0706_RA88,02_ablation_vertical
175,1.15899,cross_gain,ablation/0706_RA88,02_ablation_vertical
17,1.38176,cross_gain,ablation/0706_RA88,02_ablation_vertical
44,1.63593,cross_gain,ablation/0706_RA88,02_ablation_vertical
89,1.34615,cross_gain,ablation/0706_RA88,02_ablation_vertical
86,1.4667,cross_gain,ablation/0706_RA88,02_ablation_vertical
148,1.29927,cross_gain,ablation/0706_RA88,02_ablation_vertical
120,1.3137,cross_gain,ablation/0706_RA88,02_ablation_vertical
99,1.6402,cross_gain,ablation/0706_RA88,02_ablation_vertical
125,1.46677,cross_gain,ablation/0706_RA88,02_ablation_vertical
139,1.68259,cross_gain,ablation/0706_RA88,02_ablation_vertical
154,1.45188,cross_gain,ablation/0706_RA88,02_ablation_vertical
20,1.56905,cross_gain,ablation/0706_RA88,02_ablation_vertical
128,1.51058,cross_gain,ablation/0706_RA88,02_ablation_vertical
15,1.15302,cross_gain,ablation/0706_RA88,02_ablation_vertical
107,1.52524,cross_gain,ablation/0706_RA88,02_ablation_vertical
73,1.56283,cross_gain,ablation/0706_RA88,02_ablation_vertical
34,1.61624,cross_gain,ablation/0706_RA88,02_ablation_vertical
53,1.42848,cross_gain,ablation/0706_RA88,02_ablation_vertical
152,1.61715,cross_gain,ablation/0706_RA88,02_ablation_vertical
146,2.37351,cross_gain,ablation/0706_RA88,02_ablation_vertical
82,1.54013,cross_gain,ablation/0706_RA88,02_ablation_vertical
5,1.36882,cross_gain,ablation/0706_RA88,02_ablation_vertical
165,0.67942,cross_gain,ablation/0706_RA88,02_ablation_vertical
40,1.31682,cross_gain,ablation/0706_RA88,02_ablation_vertical
77,1.35113,cross_gain,ablation/0706_RA88,02_ablation_vertical
171,1.39981,cross_gain,ablation/0706_RA88,02_ablation_vertical
127,1.43387,cross_gain,ablation/0706_RA88,02_ablation_vertical
21,1.37519,cross_gain,ablation/0706_RA88,02_ablation_vertical
22,1.49952,cross_gain,ablation/0706_RA88,02_ablation_vertical
62,1.45871,cross_gain,ablation/0706_RA88,02_ablation_vertical
105,0.78844,cross_gain,ablation/0706_RA88,02_ablation_vertical
135,1.3607,cross_gain,ablation/0706_RA88,02_ablation_vertical
163,1.55246,cross_gain,ablation/0706_RA88,02_ablation_vertical
0,0.88524,cross_gain,ablation/0706_RA88,02_ablation_vertical
51,1.51866,cross_gain,ablation/0706_RA88,02_ablation_vertical
95,1.36863,cross_gain,ablation/0706_RA88,02_ablation_vertical
36,1.45416,cross_gain,ablation/0706_RA88,02_ablation_vertical
96,1.53811,cross_gain,ablation/0706_RA88,02_ablation_vertical
122,1.60474,cross_gain,ablation/0706_RA88,02_ablation_vertical
55,1.08234,cross_gain,ablation/0706_RA88,02_ablation_vertical
26,1.46886,cross_gain,ablation/0706_RA88,02_ablation_vertical
1,1.43551,cross_gain,ablation/0706_RA88,02_ablation_vertical
8,1.47457,cross_gain,ablation/0706_RA88,02_ablation_vertical
143,1.46659,cross_gain,ablation/0706_RA88,02_ablation_vertical
9,1.38341,cross_gain,ablation/0706_RA88,02_ablation_vertical
177,1.34678,cross_gain,ablation/0706_RA88,02_ablation_vertical
119,1.51485,cross_gain,ablation/0706_RA88,02_ablation_vertical
7,1.03732,cross_gain,ablation/0706_RA88,02_ablation_vertical
100,0.89475,cross_gain,ablation/0706_RA88,02_ablation_vertical
144,1.49521,cross_gain,ablation/0706_RA88,02_ablation_vertical
16,1.51301,cross_gain,ablation/0706_RA88,02_ablation_vertical
103,1.3497,cross_gain,ablation/0706_RA88,02_ablation_vertical
91,1.52152,cross_gain,ablation/0706_RA88,02_ablation_vertical
18,1.50202,cross_gain,ablation/0706_RA88,02_ablation_vertical
4,1.65758,cross_gain,ablation/0706_RA88,02_ablation_vertical
71,1.45964,cross_gain,ablation/0706_RA88,02_ablation_vertical
98,1.46234,cross_gain,ablation/0706_RA88,02_ablation_vertical
65,1.45506,cross_gain,ablation/0706_RA88,02_ablation_vertical
173,1.50329,cross_gain,ablation/0706_RA88,02_ablation_vertical
23,1.37452,cross_gain,ablation/0706_RA88,02_ablation_vertical
30,1.20841,cross_gain,ablation/0706_RA88,02_ablation_vertical
170,1.46061,cross_gain,ablation/0706_RA88,02_ablation_vertical
49,1.3722,cross_gain,ablation/0706_RA88,02_ablation_vertical
176,1.53289,cross_gain,ablation/0706_RA88,02_ablation_vertical
48,1.39143,cross_gain,ablation/0706_RA88,02_ablation_vertical
83,1.25386,cross_gain,ablation/0706_RA88,02_ablation_vertical
3,1.29169,cross_gain,ablation/0706_RA88,02_ablation_vertical
81,1.6258,cross_gain,ablation/0706_RA88,02_ablation_vertical
97,1.70368,cross_gain,ablation/0706_RA88,02_ablation_vertical
169,1.4929,cross_gain,ablation/0706_RA88,02_ablation_vertical
93,1.4749,cross_gain,ablation/0706_RA88,02_ablation_vertical
