id,mean_cc_gain,mean_cross_gain,zone,model
114,1.7392456527273938,3.8701566595902768,ablation,02_ablation_vertical
46,1.70793953277258,3.8403899354911735,ablation,02_ablation_vertical
19,1.5129844638923333,3.3863173914216076,ablation,02_ablation_vertical
37,1.7296786722740793,5.0140263321223975,ablation,02_ablation_vertical
65,1.693401768040803,4.427707191903897,ablation,02_ablation_vertical
62,1.6828184006052687,3.0486189574074745,ablation,02_ablation_vertical
97,1.6111052247396735,3.8028300066618854,ablation,02_ablation_vertical
0,1.6374991201526825,6.206934076699711,ablation,02_ablation_vertical
79,1.788876520200267,4.422202497566233,ablation,02_ablation_vertical
12,1.5646512579162166,8.658242715018902,ablation,02_ablation_vertical
99,1.3784678166892297,3.076926758202509,ablation,02_ablation_vertical
21,1.7470496845843795,4.434618693764248,ablation,02_ablation_vertical
112,1.9453113237605968,4.861035395855755,ablation,02_ablation_vertical
67,1.8977997482421085,3.00168851177613,ablation,02_ablation_vertical
113,1.699352280035652,3.890505467878806,ablation,02_ablation_vertical
55,1.8490731262913553,6.4935638332929955,ablation,02_ablation_vertical
49,1.7974839896370796,5.052154843747285,ablation,02_ablation_vertical
77,1.6027500723753145,5.349507741147914,ablation,02_ablation_vertical
101,1.7789883373087232,4.756734430216259,ablation,02_ablation_vertical
50,1.5099953788468028,3.9457568469578117,ablation,02_ablation_vertical
27,1.9040684467707003,6.797382394443224,ablation,02_ablation_vertical
87,1.7211469612832027,4.857241290137955,ablation,02_ablation_vertical
98,1.519379009967889,1.8254802734982931,ablation,02_ablation_vertical
28,1.5945091516590149,7.112686847179613,ablation,02_ablation_vertical
29,1.4297564341994906,2.6826995766818564,ablation,02_ablation_vertical
71,1.8698232886989068,2.908720170347621,ablation,02_ablation_vertical
69,4.030173731315637,1.9226581968516232,ablation,02_ablation_vertical
116,1.6211232761726997,3.9235215762289153,ablation,02_ablation_vertical
24,1.545561094638382,3.903100655257725,ablation,02_ablation_vertical
84,1.645903217212703,4.139973030689438,ablation,02_ablation_vertical
20,1.6551741086261793,6.763904371016641,ablation,02_ablation_vertical
2,1.500134316538531,7.7880327401720795,ablation,02_ablation_vertical
6,1.5754847740041544,6.050903539583544,ablation,02_ablation_vertical
30,1.5746339174976334,3.322765328255696,ablation,02_ablation_vertical
47,1.9261842110344767,5.16327617234024,ablation,02_ablation_vertical
38,1.4521482700378419,5.943488560917538,ablation,02_ablation_vertical
74,1.6546690001781315,6.0058566154557,ablation,02_ablation_vertical
40,1.6618723038103773,4.294872769940274,ablation,02_ablation_vertical
31,1.6976926165829311,3.2225824684781412,ablation,02_ablation_vertical
36,1.8607344039700586,5.197772965333981,ablation,02_ablation_vertical
83,1.673567331123735,4.265025888246733,ablation,02_ablation_vertical
5,1.790257502158355,3.525379022033007,ablation,02_ablation_vertical
51,1.5386950975782212,6.289562786244436,ablation,02_ablation_vertical
34,1.4111631479747646,4.605410789600111,ablation,02_ablation_vertical
68,1.5217152683704749,3.507057968115528,ablation,02_ablation_vertical
72,1.8069415974199423,2.9223146530299466,ablation,02_ablation_vertical
25,1.5779285390909872,4.030272983215144,ablation,02_ablation_vertical
85,2.0107325970732135,2.929351237278334,ablation,02_ablation_vertical
7,1.7391589666571736,5.493117341553994,ablation,02_ablation_vertical
59,1.6557567962407613,5.036341441718368,ablation,02_ablation_vertical
8,1.7874633379216687,3.2568328051669506,ablation,02_ablation_vertical
4,1.5313775765762818,4.70843192481462,ablation,02_ablation_vertical
