id,mean_cc_gain,mean_cross_gain,zone,model
114,1.9548857980502157,4.054278359722004,ablation,03_accumulation_horizontal
46,1.7420565339332803,3.494250959868858,ablation,03_accumulation_horizontal
19,1.7401316271622356,6.12676154011947,ablation,03_accumulation_horizontal
37,1.900581678906963,5.880842538848526,ablation,03_accumulation_horizontal
65,1.8746531560651767,5.980540174705816,ablation,03_accumulation_horizontal
62,1.7888940687607953,3.100017228139205,ablation,03_accumulation_horizontal
97,1.8538216528791054,3.501202765138444,ablation,03_accumulation_horizontal
0,1.7879148852951925,6.509052203923819,ablation,03_accumulation_horizontal
79,1.8427323224343488,3.5224665780162834,ablation,03_accumulation_horizontal
12,1.778392693080022,7.497947937596427,ablation,03_accumulation_horizontal
99,1.6434116356853057,3.090191239538624,ablation,03_accumulation_horizontal
21,2.108527357484939,2.5424383957132357,ablation,03_accumulation_horizontal
112,1.9751195275900089,4.366949879820307,ablation,03_accumulation_horizontal
67,2.0229459045262277,4.195171827170907,ablation,03_accumulation_horizontal
113,1.7220298602113175,6.015516885892298,ablation,03_accumulation_horizontal
55,2.087111660469545,3.9828528708357727,ablation,03_accumulation_horizontal
49,1.754273312038777,3.454791058797177,ablation,03_accumulation_horizontal
77,1.9880632633123831,6.053524515942144,ablation,03_accumulation_horizontal
101,1.8413247506683874,4.5299757993583665,ablation,03_accumulation_horizontal
50,1.6140977134679961,4.267991196671553,ablation,03_accumulation_horizontal
27,1.950370726866229,4.495592129658138,ablation,03_accumulation_horizontal
87,1.8034393414884562,2.818571977235579,ablation,03_accumulation_horizontal
98,1.7826502935050486,3.4039777372248667,ablation,03_accumulation_horizontal
28,1.8068214051233074,5.504621442956437,ablation,03_accumulation_horizontal
29,1.5226510743254085,3.5716107041226905,ablation,03_accumulation_horizontal
71,1.8828804146369056,2.39394605767175,ablation,03_accumulation_horizontal
69,4.176275279248111,2.390888066743685,ablation,03_accumulation_horizontal
116,1.684183715894171,6.332912817369051,ablation,03_accumulation_horizontal
24,1.6665414708077395,3.795017712415516,ablation,03_accumulation_horizontal
84,1.7057471762772312,4.181955983072624,ablation,03_accumulation_horizontal
20,1.6152000176589152,3.2862141476249014,ablation,03_accumulation_horizontal
2,1.7783812133944052,5.950495014867409,ablation,03_accumulation_horizontal
6,1.9165435204532835,5.873235767372458,ablation,03_accumulation_horizontal
30,1.9515162801629167,4.010165701268172,ablation,03_accumulation_horizontal
47,2.010556956786583,4.3501365959271645,ablation,03_accumulation_horizontal
38,1.6527463949033927,4.404902972876151,ablation,03_accumulation_horizontal
74,1.7310484976597607,6.471821091980952,ablation,03_accumulation_horizontal
40,1.934305921437827,3.6975585719337074,ablation,03_accumulation_horizontal
31,1.6346226852199575,2.0904442325192507,ablation,03_accumulation_horizontal
36,1.5939261164717202,5.228723549159374,ablation,03_accumulation_horizontal
83,1.8446284403842692,4.53659090262131,ablation,03_accumulation_horizontal
5,2.065951830062809,3.858112391093675,ablation,03_accumulation_horizontal
51,1.7618731612774063,7.0363192878199,ablation,03_accumulation_horizontal
34,1.8247691942472737,4.585182533716435,ablation,03_accumulation_horizontal
68,1.6601589772935121,3.595996667594768,ablation,03_accumulation_horizontal
72,1.9650406676241308,3.0385098250903293,ablation,03_accumulation_horizontal
25,1.7748826255509216,4.337450846282028,ablation,03_accumulation_horizontal
85,1.9203984443440631,2.4568512562188727,ablation,03_accumulation_horizontal
7,1.8481717445381949,4.8274970116751525,ablation,03_accumulation_horizontal
59,1.9191506449825426,4.935421805707596,ablation,03_accumulation_horizontal
8,2.007035331570537,3.342888096258751,ablation,03_accumulation_horizontal
4,1.76112488457469,6.495522344893901,ablation,03_accumulation_horizontal
117,1.9496395275783995,3.1647837105626855,ablation,03_accumulation_horizontal
88,1.8345484144477304,7.097112147480439,ablation,03_accumulation_horizontal
42,1.8178593528162423,2.9595486363834707,ablation,03_accumulation_horizontal
91,1.6514344387139446,4.780708443211085,ablation,03_accumulation_horizontal
33,1.7794841965073396,4.133241994536676,ablation,03_accumulation_horizontal
63,2.034406154940592,2.6465517021822795,ablation,03_accumulation_horizontal
118,1.8236273774187954,3.3167195177993127,ablation,03_accumulation_horizontal
14,1.7597889546314398,3.666528104553985,ablation,03_accumulation_horizontal
41,1.9530363993121536,2.710159528952824,ablation,03_accumulation_horizontal
45,1.7258579791263642,6.311846390279427,ablation,03_accumulation_horizontal
92,1.8579033399109217,2.533031199926536,ablation,03_accumulation_horizontal
89,1.6635974926989952,4.354981074118485,ablation,03_accumulation_horizontal
109,1.9559654749232458,5.076749812560601,ablation,03_accumulation_horizontal
48,1.7624210717475326,2.9552548706508457,ablation,03_accumulation_horizontal
102,1.8542258297359502,5.28137564032734,ablation,03_accumulation_horizontal
56,2.100619475166255,3.8234054044493435,ablation,03_accumulation_horizontal
81,1.9881964647504862,2.7295513477355686,ablation,03_accumulation_horizontal
11,2.070164847128847,3.214585619509694,ablation,03_accumulation_horizontal
110,2.068254270917602,3.780884913278148,ablation,03_accumulation_horizontal
103,1.9396751813257047,4.376893374266204,ablation,03_accumulation_horizontal
115,1.7263340992473686,5.992924521092525,ablation,03_accumulation_horizontal
60,1.9329174134701141,3.935732764156203,ablation,03_accumulation_horizontal
26,1.6339034519407605,5.617678735143047,ablation,03_accumulation_horizontal
93,1.9270131490391536,4.950591507523767,ablation,03_accumulation_horizontal
17,1.8344297031712795,5.013982090899314,ablation,03_accumulation_horizontal
119,1.8156235950431754,3.355355114700437,ablation,03_accumulation_horizontal
35,1.8638348189046812,6.036716108416604,ablation,03_accumulation_horizontal
52,1.934621207850784,2.5890014246219977,ablation,03_accumulation_horizontal
10,1.9009098847863641,2.811698361431254,ablation,03_accumulation_horizontal
57,1.8838601903664518,3.6944052252279986,ablation,03_accumulation_horizontal
18,1.8811314338429583,3.3293392142733027,ablation,03_accumulation_horizontal
106,2.0112634328374503,5.820404620734689,ablation,03_accumulation_horizontal
3,1.5595735325387916,3.6432084344161257,ablation,03_accumulation_horizontal
105,1.8283194246449987,5.3962894683941505,ablation,03_accumulation_horizontal
