Wall time,Step,Value
1700020818.14439,0,0.9444486498832703
1700020834.179651,3,0.09095904231071472
1700020839.495347,4,0.09006072580814362
1700020871.613455,10,0.08676162362098694
1700020876.984597,11,0.08609753847122192
1700020893.033633,14,0.08511409908533096
1700020898.382217,15,0.08548081666231155
1700020914.399624,18,0.08337562531232834
1700020919.769387,19,0.08351598680019379
1700020925.131784,20,0.08226298540830612
1700020935.816286,22,0.08061936497688293
1700020941.186742,23,0.08060795068740845
1700020957.235028,26,0.07913962751626968
1700020962.555216,27,0.07916545867919922
1700020994.653617,33,0.07661453634500504
1700021010.849035,36,0.07692703604698181
1700021016.193708,37,0.07654257118701935
1700021021.488507,38,0.07683839648962021
1700021026.798067,39,0.07699867337942123
1700021032.107421,40,0.07644780725240707
1700021069.41659,47,0.07573306560516357
1700021074.738836,48,0.07521070539951324
1700021080.075567,49,0.0753120630979538
1700021090.769054,51,0.07588522881269455
1700021096.086892,52,0.0751551017165184
1700021106.743552,54,0.07526475936174393
1700021122.760946,57,0.07458645105361938
1700021138.682073,60,0.07438988238573074
1700021144.010603,61,0.07439819723367691
1700021149.325886,62,0.07362134009599686
1700021154.663991,63,0.07430265843868256
1700021165.321611,65,0.07375495880842209
1700021170.649376,66,0.07458086311817169
1700021176.002987,67,0.07396095991134644
1700021181.305932,68,0.07309707999229431
1700021191.988753,70,0.07306014746427536
1700021197.306395,71,0.07303223758935928
1700021229.246669,77,0.07338739931583405
1700021239.870341,79,0.07376547902822495
1700021245.194015,80,0.07221072167158127
1700021255.821655,82,0.07254005968570709
1700021261.124488,83,0.07280533760786057
1700021271.751366,85,0.07352747023105621
1700021292.991904,89,0.07333296537399292
1700021298.307353,90,0.07222574949264526
1700021324.870102,95,0.07263566553592682
1700021346.176673,99,0.07185155898332596
1700021351.500888,100,0.07290816307067871
1700021367.502196,103,0.07235744595527649
1700021383.479643,106,0.07238632440567017
1700021388.786953,107,0.07203758507966995
1700021399.44946,109,0.07216095179319382
1700021426.049578,114,0.07207205891609192
1700021436.68134,116,0.0716175064444542
1700021463.333403,121,0.07122019678354263
1700021484.629496,125,0.0712733343243599
1700021489.9495,126,0.07209248095750809
1700021500.584383,128,0.0719185546040535
1700021511.261816,130,0.07072964310646057
1700021516.579272,131,0.07132185250520706
1700021521.892316,132,0.07121018320322037
1700021543.21148,136,0.07097092270851135
1700021548.606155,137,0.07079457491636276
1700021580.533462,143,0.06983482837677002
1700021585.854737,144,0.07029316574335098
1700021596.565713,146,0.0707770437002182
1700021601.862966,147,0.07033654302358627
1700021617.801458,150,0.07135912030935287
1700021655.0141,157,0.07007065415382385
1700021665.711317,159,0.06971912831068039
1700021671.037124,160,0.07073528319597244
1700021681.740054,162,0.06989800930023193
1700021692.373208,164,0.06999483704566956
1700021703.054592,166,0.07037457078695297
1700021724.333387,170,0.07020265609025955
1700021729.650664,171,0.06945113837718964
1700021734.971424,172,0.06975551694631577
1700021750.963095,175,0.0698571652173996
1700021756.272921,176,0.07069084793329239
1700021761.615402,177,0.07015138864517212
1700021766.947738,178,0.06878944486379623
1700021777.576749,180,0.06926418095827103
1700021782.937237,181,0.06982460618019104
1700021798.901551,184,0.068928062915802
1700021804.252287,185,0.06976285576820374
1700021809.553796,186,0.07095558941364288
1700021825.549702,189,0.06946086883544922
1700021830.845319,190,0.06778258085250854
1700021836.163053,191,0.0699983686208725
1700021841.487747,192,0.06987739354372025
1700021857.425845,195,0.06985511630773544
1700021878.695407,199,0.06959650665521622
1700021883.99735,200,0.06898864358663559
1700021894.707752,202,0.06988334655761719
1700021899.99734,203,0.06956975907087326
1700021905.316001,204,0.068912073969841
1700021910.642089,205,0.07072295993566513
1700021921.277414,207,0.0701649859547615
1700021931.925049,209,0.06955305486917496
1700021942.570862,211,0.06868869066238403
1700021953.265409,213,0.06905101984739304
1700021963.905495,215,0.06995367258787155
1700021969.232906,216,0.06906348466873169
1700021979.887239,218,0.06943873316049576
1700021985.209733,219,0.06966813653707504
1700021990.529213,220,0.06979445368051529
1700021995.922957,221,0.06857184320688248
1700022001.245975,222,0.06884030997753143
1700022011.873335,224,0.06885955482721329
1700022017.191466,225,0.06867382675409317
1700022038.468867,229,0.06971975415945053
1700022070.418148,235,0.06990863382816315
1700022081.073791,237,0.06936117261648178
1700022086.375605,238,0.06935445219278336
1700022091.68407,239,0.06899020820856094
1700022102.345528,241,0.06940309703350067
1700022107.665068,242,0.0683608204126358
1700022118.332559,244,0.06883076578378677
1700022123.686202,245,0.06812532991170883
1700022129.028202,246,0.06996773928403854
1700022134.335591,247,0.06716273725032806
1700022160.963371,252,0.0685790479183197
1700022166.340305,253,0.06950126588344574
1700022171.665048,254,0.06891380250453949
1700022187.675585,257,0.06733665615320206
1700022192.998101,258,0.06780815869569778
1700022198.309782,259,0.06923433393239975
1700022203.643677,260,0.06820432841777802
1700022214.313611,262,0.06841142475605011
1700022256.938438,270,0.06906377524137497
1700022262.273157,271,0.06967654079198837
1700022278.261639,274,0.06854073703289032
1700022283.575358,275,0.06826143711805344
1700022288.901961,276,0.06846754997968674
1700022299.600886,278,0.06881516426801682
1700022310.237101,280,0.06849730014801025
1700022320.889731,282,0.06915606558322906
1700022326.199557,283,0.06841841340065002
1700022336.865863,285,0.06848818063735962
1700022347.488454,287,0.0679783746600151
1700022352.791075,288,0.0688977763056755
1700022363.450885,290,0.06861279904842377
1700022390.091627,295,0.06880183517932892
1700022395.408607,296,0.06901372969150543
1700022400.759461,297,0.06807053089141846
1700022406.091104,298,0.06740707904100418
1700022438.2588,304,0.0684455931186676
1700022448.905064,306,0.06830164790153503
1700022459.539424,308,0.06796061247587204
1700022464.872661,309,0.06872881203889847
1700022480.822777,312,0.06861383467912674
1700022486.194938,313,0.06783698499202728
1700022502.124741,316,0.06873853504657745
1700022512.770976,318,0.06856921315193176
1700022518.087624,319,0.06848733127117157
1700022534.082036,322,0.06788808852434158
1700022544.73368,324,0.06712429225444794
1700022571.357694,329,0.06767915189266205
1700022576.68252,330,0.06828558444976807
1700022582.001914,331,0.06798842549324036
1700022587.315972,332,0.06770996004343033
1700022613.980661,337,0.06826018542051315
1700022619.288539,338,0.06805112212896347
1700022629.925317,340,0.06867441534996033
1700022645.88278,343,0.0677146166563034
1700022651.187182,344,0.06848426908254623
1700022656.536734,345,0.06797586381435394
1700022661.8563,346,0.06786724925041199
1700022672.492276,348,0.06804072856903076
1700022683.157386,350,0.06815855950117111
1700022693.793519,352,0.06871852278709412
1700022699.142694,353,0.0679122731089592
1700022704.49977,354,0.0686383992433548
1700022725.801521,358,0.06681317836046219
1700022736.425655,360,0.06749629229307175
1700022747.08461,362,0.06851106137037277
1700022752.387625,363,0.06767136603593826
1700022757.698737,364,0.06786465644836426
1700022763.031193,365,0.06785351783037186
1700022768.336341,366,0.06833943724632263
1700022773.662572,367,0.06784649938344955
1700022779.010564,368,0.06872675567865372
1700022810.933506,374,0.06707729399204254
1700022826.890757,377,0.06891125440597534
1700022832.211134,378,0.06837914139032364
1700022869.525465,385,0.06815387308597565
1700022874.852642,386,0.06773503869771957
1700022896.126604,390,0.0677095502614975
1700022901.441642,391,0.0683494582772255
1700022906.774614,392,0.06803292781114578
1700022912.120866,393,0.06861788034439087
1700022917.496998,394,0.06839055567979813
1700022922.827512,395,0.0683153048157692
1700022928.148826,396,0.06692606210708618
1700022933.478831,397,0.06811993569135666
1700022938.804702,398,0.06836898624897003
1700022944.1335,399,0.06848744302988052
1700022954.820858,401,0.0681622177362442
1700022960.141681,402,0.06766214221715927
1700022970.761143,404,0.06793392449617386
1700022992.015589,408,0.06850017607212067
1700022997.354391,409,0.06800944358110428
1700023013.299232,412,0.06785327941179276
1700023018.633698,413,0.06764914095401764
1700023023.953032,414,0.06835616379976273
1700023029.266737,415,0.0680127814412117
1700023045.239193,418,0.06912940740585327
1700023061.254967,421,0.06692956387996674
1700023066.586403,422,0.0675710141658783
1700023082.574223,425,0.0674535259604454
1700023087.906609,426,0.06856265664100647
1700023109.386357,430,0.0683232918381691
1700023114.705779,431,0.06820830702781677
1700023130.701639,434,0.06719782948493958
1700023136.06449,435,0.06716370582580566
1700023141.607,436,0.06755582243204117
1700023146.935034,437,0.06736679375171661
1700023152.251363,438,0.06744815409183502
1700023157.575704,439,0.06675271689891815
1700023162.907842,440,0.06774820387363434
1700023168.249715,441,0.06885023415088654
1700023178.908761,443,0.0677235871553421
1700023184.240807,444,0.06715063750743866
1700023189.598106,445,0.06710643321275711
1700023194.921724,446,0.06780754774808884
1700023216.23341,450,0.06788400560617447
1700023221.550351,451,0.0677780732512474
1700023226.87654,452,0.0679682120680809
1700023232.20788,453,0.06752970069646835
1700023237.526631,454,0.06737536936998367
1700023248.113541,456,0.06716328114271164
1700023258.722332,458,0.06760391592979431
1700023269.351289,460,0.06834996491670609
1700023274.689677,461,0.06744004040956497
1700023290.608291,464,0.06786436587572098
1700023295.937783,465,0.06754136830568314
1700023301.265945,466,0.06771522015333176
1700023311.901749,468,0.06712745130062103
1700023322.5864,470,0.06680610030889511
1700023343.899355,474,0.06824138015508652
1700023349.211582,475,0.06688433885574341
1700023365.17822,478,0.06693266332149506
1700023370.557362,479,0.06689213216304779
1700023375.883483,480,0.06791700422763824
1700023381.237386,481,0.0672612264752388
1700023386.539723,482,0.06690087914466858
1700023391.858058,483,0.06716053187847137
1700023397.180524,484,0.06738421320915222
1700023407.838445,486,0.06703253835439682
1700023413.150001,487,0.06722886860370636
1700023418.459682,488,0.06667575985193253
1700023423.79876,489,0.06814524531364441
1700023434.434302,491,0.06741689145565033
1700023450.413152,494,0.06787873059511185
1700023471.693433,498,0.06769891083240509
1700023487.655158,501,0.06839236617088318
1700023492.961449,502,0.06677411496639252
1700023498.269274,503,0.06759416311979294
1700023514.282466,506,0.06707433611154556
1700023524.936503,508,0.06771499663591385
1700023530.282009,509,0.06629784405231476
1700023535.607124,510,0.06651226431131363
1700023540.925737,511,0.06699495762586594
1700023546.241696,512,0.0682263970375061
1700023551.57205,513,0.06814213842153549
1700023556.882956,514,0.06856498122215271
1700023572.884045,517,0.06643924862146378
1700023578.211593,518,0.06713974475860596
1700023583.541638,519,0.06669462472200394
1700023588.852682,520,0.06698508560657501
1700023604.848469,523,0.06639183312654495
1700023642.109536,530,0.0667194351553917
1700023658.104181,533,0.06776855885982513
1700023663.422105,534,0.06766317784786224
1700023674.071292,536,0.06759916990995407
1700023679.416757,537,0.06714686751365662
1700023684.798771,538,0.06687039136886597
1700023690.131957,539,0.06627796590328217
1700023695.442007,540,0.06758837401866913
1700023706.11807,542,0.06767292320728302
1700023711.435195,543,0.06702666729688644
1700023716.762564,544,0.06778055429458618
1700023727.411897,546,0.06759975105524063
1700023732.738184,547,0.06753633171319962
1700023748.855753,550,0.06712549179792404
1700023759.486028,552,0.06702824681997299
1700023770.188106,554,0.06775496900081635
1700023775.520588,555,0.06701810657978058
1700023780.834172,556,0.06713465601205826
1700023812.775252,562,0.06710241734981537
1700023818.104749,563,0.066195547580719
1700023823.423114,564,0.06717969477176666
1700023844.737746,568,0.06698265671730042
1700023860.727336,571,0.06621844321489334
1700023871.383187,573,0.0675642117857933
1700023887.346823,576,0.067406065762043
1700023908.818393,580,0.06677738577127457
1700023930.084548,584,0.06634507328271866
1700023935.4315,585,0.06710730493068695
1700023940.750315,586,0.0661267563700676
1700023951.354909,588,0.06692004203796387
1700023961.993528,590,0.06694575399160385
1700023967.305366,591,0.0669151023030281
1700023972.634472,592,0.06679150462150574
1700023983.305275,594,0.06689131259918213
1700023993.957518,596,0.06708082556724548
1700023999.308544,597,0.06734465062618256
1700024004.642898,598,0.06784011423587799
1700024009.968405,599,0.06654177606105804
1700024020.626651,601,0.06612711399793625
1700024025.922273,602,0.06795765459537506
1700024031.222927,603,0.06749167293310165
1700024041.85553,605,0.06588266789913177
1700024057.793749,608,0.06554664671421051
1700024068.462197,610,0.06653852760791779
1700024084.647249,613,0.0666852816939354
1700024089.942608,614,0.06624529510736465
1700024100.550979,616,0.06699162721633911
1700024111.213059,618,0.0660901814699173
1700024121.843169,620,0.06617505103349686
1700024132.504006,622,0.06765615195035934
1700024137.844695,623,0.06729023158550262
1700024153.816422,626,0.06694940477609634
1700024164.444984,628,0.0671575516462326
1700024169.792725,629,0.06689218431711197
1700024191.085648,633,0.0662490725517273
1700024201.689248,635,0.06710213422775269
1700024212.337741,637,0.06715620309114456
1700024228.31602,640,0.06663105636835098
1700024233.665468,641,0.06588421016931534
1700024238.988065,642,0.0657750740647316
1700024244.295372,643,0.06675589829683304
1700024249.634893,644,0.06605947762727737
1700024254.988906,645,0.0672115832567215
1700024276.281981,649,0.06675684452056885
1700024286.922387,651,0.06626281142234802
1700024292.231854,652,0.0675063505768776
1700024297.562585,653,0.06734554469585419
1700024302.878687,654,0.06686697155237198
1700024308.212677,655,0.06644310802221298
1700024324.252215,658,0.06716343760490417
1700024329.572315,659,0.06683338433504105
1700024334.878185,660,0.0671461895108223
1700024372.159336,667,0.06716105341911316
1700024388.121464,670,0.06623175740242004
1700024414.847854,675,0.06718993186950684
1700024420.167897,676,0.06608151644468307
1700024425.510224,677,0.06673663854598999
1700024441.445288,680,0.06617552042007446
1700024452.086981,682,0.06683815270662308
1700024457.412286,683,0.06581214815378189
1700024462.725981,684,0.06609240174293518
1700024478.666092,687,0.06744663417339325
1700024505.280399,692,0.06659205257892609
1700024515.947046,694,0.06572973728179932
1700024521.264919,695,0.06662798672914505
1700024526.571125,696,0.06674429774284363
1700024531.927445,697,0.0662122517824173
1700024542.565841,699,0.066517174243927
1700024558.567966,702,0.06659716367721558
1700024563.879578,703,0.06615540385246277
1700024574.519633,705,0.066622294485569
1700024595.908768,709,0.06666269898414612
1700024601.228753,710,0.0650593712925911
1700024611.85749,712,0.06559573858976364
1700024627.806162,715,0.06575367599725723
1700024638.468989,717,0.06606163829565048
1700024649.094051,719,0.06529521197080612
1700024654.397622,720,0.06592345237731934
1700024659.731596,721,0.06624223291873932
1700024670.36571,723,0.06607139110565186
1700024681.019642,725,0.06668179482221603
1700024686.339117,726,0.06635215133428574
1700024691.659034,727,0.0667385533452034
1700024697.027488,728,0.06598874181509018
1700024702.360937,729,0.06544896215200424
1700024713.026233,731,0.06721364706754684
1700024718.358139,732,0.06496924161911011
1700024723.696414,733,0.06521638482809067
1700024750.264822,738,0.06613409519195557
1700024755.567126,739,0.0655427873134613
1700024760.88398,740,0.06662769615650177
