id,mean_cc_gain,mean_cross_gain,zone,model
1,1.3256227218011578,1.4512643880289908,accumulation,09_random480
114,1.3479766776127367,1.5015767510701374,accumulation,09_random480
49,1.4124931894304393,1.3222764896253865,accumulation,09_random480
164,1.232188674417166,1.1299037852897,accumulation,09_random480
10,1.8157408871067164,2.3102957680251435,accumulation,09_random480
141,1.5910950348001722,1.196914947284133,accumulation,09_random480
174,1.31777029096765,1.3615284204331508,accumulation,09_random480
105,1.6231304034464522,1.8777437647493713,accumulation,09_random480
23,1.539385002959881,1.6842234006308616,accumulation,09_random480
98,1.3928812443235716,1.3620736813274985,accumulation,09_random480
71,1.6529603026162476,1.7912071756146926,accumulation,09_random480
99,1.5781736294038708,1.6734873665293992,accumulation,09_random480
104,1.47234925800063,1.4918435514147634,accumulation,09_random480
150,1.3148556152658195,1.425081717437709,accumulation,09_random480
95,1.3539361943202173,1.231777102072139,accumulation,09_random480
138,1.3072891791655006,1.3811765529150235,accumulation,09_random480
80,1.251488291898219,1.2049271698977724,accumulation,09_random480
176,1.3240366011760647,1.3410929263648126,accumulation,09_random480
73,1.2557576563753237,1.3781812591224756,accumulation,09_random480
75,1.2342839627087063,1.170682522252572,accumulation,09_random480
91,1.2968195578504926,1.4084008221381463,accumulation,09_random480
24,1.4820584655752445,1.4818209844313555,accumulation,09_random480
26,1.7180122004717682,1.629358098396395,accumulation,09_random480
46,2.061645736880005,2.3426838394152005,accumulation,09_random480
103,1.2715650803586358,1.484514652909922,accumulation,09_random480
169,1.273406609127163,1.1975838987005205,accumulation,09_random480
45,1.3263813220597018,1.374278283133779,accumulation,09_random480
96,2.0466748833550015,2.349018431448429,accumulation,09_random480
130,1.2028742330008062,1.2943839487692022,accumulation,09_random480
56,1.238084166077717,1.2783698894065383,accumulation,09_random480
107,1.178105765763817,1.2341937096146482,accumulation,09_random480
146,1.4689792099081256,1.9628921718410126,accumulation,09_random480
94,1.33861939395302,1.1984440269593128,accumulation,09_random480
125,1.4889938664209228,1.6069236471043098,accumulation,09_random480
145,1.2624196144193796,1.3097878749156187,accumulation,09_random480
119,1.251655169266749,1.2253770440181504,accumulation,09_random480
77,1.9108204078035669,2.031205716195452,accumulation,09_random480
64,1.4300722684643077,1.6780245040017419,accumulation,09_random480
149,1.729274730365922,2.2569014717886504,accumulation,09_random480
74,1.3203064911983147,1.8240144590938037,accumulation,09_random480
101,1.5047056809707868,1.5146220509730128,accumulation,09_random480
9,1.7759430794571531,2.3075760015572913,accumulation,09_random480
76,1.8689883266042586,2.370990262339231,accumulation,09_random480
44,1.6907895804369584,1.8099339558867507,accumulation,09_random480
