id,mean_cc_gain,mean_cross_gain,zone,model
1,1.4607895013580483,1.8735445494429857,accumulation,10_random_borehole
114,1.575830162181116,1.904818705679379,accumulation,10_random_borehole
49,1.4381417329860067,1.22439747429566,accumulation,10_random_borehole
164,1.3408345219941644,1.1009568989075564,accumulation,10_random_borehole
10,1.5657962319494358,1.9519681873091195,accumulation,10_random_borehole
141,1.5442051114583522,1.3371946944062265,accumulation,10_random_borehole
174,1.378119793810298,1.5416973369052362,accumulation,10_random_borehole
105,1.8182417897749343,1.9633955664130813,accumulation,10_random_borehole
23,1.4405939105180057,1.6311878924842962,accumulation,10_random_borehole
98,1.491712233073386,1.633175798608787,accumulation,10_random_borehole
71,1.6993838170892441,1.7256401464634563,accumulation,10_random_borehole
99,1.6797591584703249,1.6281211414979613,accumulation,10_random_borehole
104,1.6036912965185262,1.6663936722663615,accumulation,10_random_borehole
150,1.4775076491878072,1.4650709003630358,accumulation,10_random_borehole
95,1.5294218702419686,1.5824171741016795,accumulation,10_random_borehole
138,1.4574291339346401,1.4959382858607477,accumulation,10_random_borehole
80,1.3676453639125554,1.53088822275488,accumulation,10_random_borehole
176,1.4671179386711362,1.3870875375562102,accumulation,10_random_borehole
73,1.3379768788211641,1.3336786605263824,accumulation,10_random_borehole
75,1.5829464967632068,1.5261144544881489,accumulation,10_random_borehole
91,1.3885320134055366,1.6379170280074824,accumulation,10_random_borehole
24,1.46274988204503,1.5986080744163123,accumulation,10_random_borehole
26,2.192508106826951,1.9507903794882302,accumulation,10_random_borehole
46,1.730602609166428,1.880954966771963,accumulation,10_random_borehole
103,1.5071209514066428,1.678913108189224,accumulation,10_random_borehole
169,1.528577793183612,1.2331574825353069,accumulation,10_random_borehole
45,1.6171615435778115,1.583257939027248,accumulation,10_random_borehole
96,2.0675866244923404,2.336673300798277,accumulation,10_random_borehole
130,1.3380247368945606,1.446016420512494,accumulation,10_random_borehole
56,1.3496996259342418,1.6629919719009911,accumulation,10_random_borehole
107,1.3771945553252951,1.29698329193203,accumulation,10_random_borehole
146,1.551885335523557,1.57851561570596,accumulation,10_random_borehole
94,1.438590546029079,1.2922151761544316,accumulation,10_random_borehole
125,1.6146676473694228,1.9187618298609492,accumulation,10_random_borehole
145,1.3095990765454701,1.5845390297695374,accumulation,10_random_borehole
119,1.4343535193469212,1.4178958711497376,accumulation,10_random_borehole
77,1.7305564093680825,2.073397040594355,accumulation,10_random_borehole
64,1.5043798152018435,1.7307125716140785,accumulation,10_random_borehole
149,1.615755375705546,1.9589012460458843,accumulation,10_random_borehole
74,1.5026450162789995,2.022213658431055,accumulation,10_random_borehole
101,1.591244524762142,1.7931725076615788,accumulation,10_random_borehole
9,1.696898110757786,2.2086984688309226,accumulation,10_random_borehole
76,1.6332705764196611,2.141398226871543,accumulation,10_random_borehole
44,1.5992150491517154,1.7309342013119253,accumulation,10_random_borehole
116,1.3692281895779377,1.4671549767582828,accumulation,10_random_borehole
152,2.065767722050013,1.932299434562119,accumulation,10_random_borehole
42,1.4311132932178952,1.7747698005363097,accumulation,10_random_borehole
35,1.4578331772189244,1.4733681859228809,accumulation,10_random_borehole
27,1.3484223292655493,1.2895973269780838,accumulation,10_random_borehole
97,1.9301534606094914,1.9737630491827474,accumulation,10_random_borehole
129,1.530969316275236,1.9065030071615712,accumulation,10_random_borehole
72,1.3762272507435878,1.2330668335219155,accumulation,10_random_borehole
21,1.5565391404685074,1.7830649043356321,accumulation,10_random_borehole
156,1.5406134934274096,1.6198442115581682,accumulation,10_random_borehole
113,1.4251038560136924,1.7004240289734827,accumulation,10_random_borehole
155,1.4925890705631204,1.7450699225717705,accumulation,10_random_borehole
58,1.37418143569344,1.1830065024759553,accumulation,10_random_borehole
89,1.9905896582391307,2.4315955691602595,accumulation,10_random_borehole
8,1.3775296781016846,1.7696628646248178,accumulation,10_random_borehole
128,1.3202390391514132,1.5136083572803698,accumulation,10_random_borehole
148,2.2099166865012756,2.1090338186553304,accumulation,10_random_borehole
171,1.517989540220912,1.6535747550824667,accumulation,10_random_borehole
135,1.5116824470694827,1.34236597882215,accumulation,10_random_borehole
37,1.4396752037050042,1.508960016403576,accumulation,10_random_borehole
178,1.6434827030958548,1.6233470353650241,accumulation,10_random_borehole
154,1.5593885729147368,1.8938517828160215,accumulation,10_random_borehole
177,1.391819040139342,1.4788443095939088,accumulation,10_random_borehole
123,1.4415963175569295,1.2422303098945597,accumulation,10_random_borehole
147,1.4230939111898857,1.8349172653522203,accumulation,10_random_borehole
70,1.9629935992752023,1.8990921460393508,accumulation,10_random_borehole
120,1.4305398672970184,1.231232564611163,accumulation,10_random_borehole
20,1.3608708382531622,1.5831337477074736,accumulation,10_random_borehole
61,1.4092897181475443,1.7443850533716936,accumulation,10_random_borehole
124,1.4551308669892458,1.3421718626980637,accumulation,10_random_borehole
151,1.5656368655225656,1.442811645987837,accumulation,10_random_borehole
14,1.374783544137701,1.4267329938838782,accumulation,10_random_borehole
106,1.7615617565012058,1.9225662788615459,accumulation,10_random_borehole
2,1.4270532354049343,1.706490502527393,accumulation,10_random_borehole
90,2.124906699389393,2.5354025947254697,accumulation,10_random_borehole
100,1.4643836012282077,1.4958375868137672,accumulation,10_random_borehole
12,1.5505624769306894,1.7389960820652035,accumulation,10_random_borehole
68,1.4757516556149088,1.2749506095913248,accumulation,10_random_borehole
41,1.5576893587578742,1.5718478571422896,accumulation,10_random_borehole
32,1.4466525626350426,1.1585562244442442,accumulation,10_random_borehole
